rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments,,,,,,,
RGI2000-v7.0-G-14-00036,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00037,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00038,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00039,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00040,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00041,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00045,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,unlikely a glacier,9999,,,,,,
RGI2000-v7.0-G-14-00046,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,unlikely a glacier,9999,,,,,,
RGI2000-v7.0-G-14-00047,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00048,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00049,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00050,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
