rgi_id,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-04-07212,3.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-06677,1.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07937,1.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07958,2.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07945,2.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07683,2.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07660,2.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07786,1.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07787,1.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-07790,1.0,LE07_L1TP_016013_20000806_20200917_02_T1,2000-08-06,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05720,2.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05734,2.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05286,1.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05203,2.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08180,3.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05523,1.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05513,1.0,LE07_L1TP_019012_20010729_20200917_02_T1,2001-07-29,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03643,1.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00672,3.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03460,1.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-05019,1.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10553,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10551,2.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10549,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10563,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10555,2.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10534,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10519,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10522,2.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10537,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-09683,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-09609,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-09740,3.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10770,1.0,LE07_L1TP_016015_20000907_20201008_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03521,3.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03573,1.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03396,3.0,LE07_L1TP_021011_20000708_20200918_02_T1,2000-07-08,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03291,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03985,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03301,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04728,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04733,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04068,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04030,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04032,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04252,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04250,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04207,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04244,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04176,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04173,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04380,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04375,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04372,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04584,3.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04501,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04395,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04386,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04545,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04546,3.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04597,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04692,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02839,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02840,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02830,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
