rgi_id,auto_term,image_id,lake_level,image_date,contributor
RGI2000-v7.0-G-03-04360,9,LE07_L1TP_044003_19990707_20200918_02_T1,0,1999-07-07,McNabb
RGI2000-v7.0-G-03-04361,9,LE07_L1TP_049005_19990710_20200918_02_T1,0,1999-07-10,McNabb
