file,buffer,inventory,manual,region,nglac,agree,fpos,fneg
15_south_asia_east_global_shugar2020_automated.csv,1000,shugar2020,420.0,15,1471.0,0.5976190476190476,2.9047619047619047,0.4023809523809524
15_south_asia_east_global_song2025_automated.csv,1000,song2025,420.0,15,2492.0,0.819047619047619,5.114285714285714,0.18095238095238095
15_south_asia_east_global_zhang2024_automated.csv,1000,zhang2024,420.0,15,3591.0,0.8761904761904762,7.673809523809524,0.12380952380952381
16_low_latitudes_global_shugar2020_automated.csv,1000,shugar2020,72.0,16,79.0,0.4027777777777778,0.6944444444444444,0.5972222222222222
16_low_latitudes_global_song2025_automated.csv,1000,song2025,72.0,16,300.0,0.7916666666666666,3.375,0.20833333333333334
16_low_latitudes_global_zhang2024_automated.csv,1000,zhang2024,72.0,16,195.0,0.4583333333333333,2.25,0.5416666666666666
17_southern_andes_global_shugar2020_automated.csv,1000,shugar2020,571.0,17,1793.0,0.3380035026269702,2.8021015761821366,0.6619964973730298
17_southern_andes_global_song2025_automated.csv,1000,song2025,575.0,17,3989.0,0.7565217391304347,6.1808695652173915,0.24347826086956523
17_southern_andes_global_zhang2024_automated.csv,1000,zhang2024,575.0,17,6025.0,0.6904347826086956,9.787826086956521,0.3095652173913043
18_new_zealand_global_shugar2020_automated.csv,1000,shugar2020,12.0,18,101.0,0.8333333333333334,7.583333333333333,0.16666666666666666
18_new_zealand_global_song2025_automated.csv,1000,song2025,15.0,18,286.0,0.8666666666666667,18.2,0.13333333333333333
18_new_zealand_global_zhang2024_automated.csv,1000,zhang2024,14.0,18,106.0,0.6428571428571429,6.928571428571429,0.35714285714285715
19_subantarctic_antarctic_islands_global_shugar2020_automated.csv,1000,shugar2020,0.0,19,0.0,,,
19_subantarctic_antarctic_islands_global_song2025_automated.csv,1000,song2025,6.0,19,0.0,0.0,0.0,1.0
19_subantarctic_antarctic_islands_global_zhang2024_automated.csv,1000,zhang2024,22.0,19,101.0,0.6363636363636364,3.9545454545454546,0.36363636363636365
01_alaska_global_shugar2020_automated.csv,500,shugar2020,186.0,01,263.0,0.5806451612903226,0.8333333333333334,0.41935483870967744
01_alaska_global_song2025_automated.csv,500,song2025,187.0,01,1105.0,0.93048128342246,4.978609625668449,0.06951871657754011
01_alaska_global_zhang2024_automated.csv,500,zhang2024,187.0,01,893.0,0.5240641711229946,4.251336898395722,0.47593582887700536
