rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,notes,contributor
RGI2000-v7.0-G-05-00655,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00656,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00657,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00658,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00659,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00660,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00661,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00662,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00663,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00664,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00665,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00666,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
