rgi_id,src_date,area_km2,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,contributor,contributor,contributor
RGI2000-v7.0-G-03-03223,1999-07-08T00:00:00,0.260601601186701,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03224,1999-07-08T00:00:00,0.863295675156494,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03225,1999-07-08T00:00:00,0.973998382874086,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03226,1999-07-08T00:00:00,2.537812290874481,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03227,1999-07-08T00:00:00,9.3967954488666,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03228,1999-07-08T00:00:00,6.383856538505604,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03229,1999-07-08T00:00:00,0.91974363128924,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03230,1999-07-08T00:00:00,0.440319424312899,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03231,1999-07-08T00:00:00,0.453516617068738,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03232,1999-07-08T00:00:00,0.642549845456932,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03233,1999-07-08T00:00:00,0.518106903893833,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03234,1999-07-08T00:00:00,0.290007897593466,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03235,1999-07-08T00:00:00,10.459709191940497,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03236,1999-07-08T00:00:00,6.446670574443086,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03237,1999-07-08T00:00:00,1.201540857837161,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03238,1999-07-08T00:00:00,14.616547999957495,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03239,1999-07-08T00:00:00,36.38126102108614,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03240,1999-07-08T00:00:00,0.466743261721746,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03241,1999-07-08T00:00:00,1.702109580228333,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03242,1999-07-08T00:00:00,2.126443819876818,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03243,1999-07-08T00:00:00,3.377556394514786,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03244,1999-07-08T00:00:00,0.17371945603555,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
