rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments
RGI2000-v7.0-G-12-00001,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00002,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00003,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00004,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00005,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00006,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00007,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00008,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00009,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00010,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00011,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00012,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00013,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00014,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00015,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00016,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00017,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00018,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00019,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00020,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00021,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00022,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00023,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00024,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00025,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00026,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00027,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00028,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00029,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00030,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00031,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00032,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00033,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00034,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00035,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00036,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00037,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00038,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00039,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00040,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00041,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00042,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00043,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00044,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00045,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00046,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00047,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00048,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00049,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00050,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00051,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00052,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00053,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00054,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00055,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00056,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00057,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00058,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00059,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00060,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00061,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00062,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00063,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00064,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00065,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00066,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00067,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00068,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00069,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00070,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00071,0,,,,Levan Tielidze,
RGI2000-v7.0-G-12-00072,0,,,,Levan Tielidze,
