rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments
RGI2000-v7.0-G-15-00000,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00001,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00002,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00003,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00004,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00005,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00006,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00007,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00008,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00009,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00010,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00011,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00012,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00013,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00014,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00015,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00016,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00017,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00018,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00019,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00020,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00021,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00022,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00023,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00024,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00025,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00026,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00027,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00028,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00029,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00030,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00031,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00032,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00033,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00034,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00035,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00036,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00037,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00038,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00039,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00040,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00041,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00042,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00043,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00044,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00045,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00046,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00047,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00048,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00049,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00050,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00051,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00052,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00053,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00054,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00055,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00056,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00057,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00058,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00059,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00060,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00061,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00062,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00063,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00064,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00065,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00066,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00067,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00068,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00069,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00070,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00071,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00072,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00073,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00074,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00075,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00076,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00077,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00078,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00079,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00080,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00081,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00082,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00083,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00084,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00085,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00086,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00087,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00088,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00089,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00090,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00091,0,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00092,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00093,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00094,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00095,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00096,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00097,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00098,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00099,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00100,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00101,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00102,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00103,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00104,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00105,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00106,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00107,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00108,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00109,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00110,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00111,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00112,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00113,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00114,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00115,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00116,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00117,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00118,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00119,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00120,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00121,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00122,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00123,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00124,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00125,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00126,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00127,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00128,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00129,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00130,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00131,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00132,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00133,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00134,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00135,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00136,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00137,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00138,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
RGI2000-v7.0-G-15-00139,4,NA,NA,doi:10.5194/essd-12-2169-2020,Steiner,NA
