region,name,numglac,cat0,cat0area,cat1,cat1area,cat2,cat2area,cat3,cat3area,cat98,cat98area,cat99,cat99area
1,Alaska,27509,27263,58446.03099420757,59,5085.099111185696,43,8668.595821778175,144,14507.898248677153,0,0.0,0,0.0
2,Western Canada Usa,18730,18241,12647.308618919158,137,375.4765466853228,148,786.6216990967285,204,712.0662814516874,0,0.0,0,0.0
3,Arctic Canada North,5216,4898,82155.15749283314,103,9912.130277920476,86,6717.227433256698,98,5873.437423385584,12,482.99666831051377,19,229.3224425600339
4,Arctic Canada South,11009,10758,28591.055316903465,67,1911.002127315235,83,7349.105168370254,101,2686.9161200632147,0,0.0,0,0.0
5,Greenland Periphery,19994,19528,76046.46796464718,172,5810.609263978116,121,2903.657117502936,173,5720.864459882086,0,0.0,0,0.0
6,Iceland,568,540,6416.780020330849,14,977.5116033653586,9,2069.708087138921,5,1595.70271532478,0,0.0,0,0.0
7,Svalbard Jan Mayen,1666,1568,29719.32553858962,37,2215.0119263650586,36,789.6433268108278,24,1231.9987755194052,0,0.0,1,2.849463965360558
8,Scandinavia,3410,3146,2382.635942851437,37,86.06407683082894,94,127.12549842859498,133,352.00593105382995,0,0.0,0,0.0
9,Russian Arctic,1069,1021,49078.842018360876,16,819.5917352670681,17,734.0924633928576,15,962.4983864217899,0,0.0,0,0.0
10,North Asia,7155,7051,2590.0352928335933,35,9.783040700951277,37,24.208667171933776,32,18.500912833205938,0,0.0,0,0.0
11,Central Europe,4079,3969,1903.5946097646224,44,86.92698900516734,20,39.51691024688598,46,94.20825394292106,0,0.0,0,0.0
12,Caucasus Middle East,2275,2250,1356.688918904963,14,17.690053867509892,8,30.174708240765792,3,2.1435079044082896,0,0.0,0,0.0
13,Central Asia,75613,74664,47117.96064345727,234,686.8875878058873,168,630.3270472117277,547,1908.808700665263,0,0.0,0,0.0
14,South Asia West,37562,37179,31061.724592956387,46,1484.0268910241716,32,25.014785847057674,305,504.2913706280519,0,0.0,0,0.0
15,South Asia East,18587,18007,14153.11639919205,160,381.67358441399296,81,211.9268707216135,339,1302.6456221036779,0,0.0,0,0.0
16,Low Latitudes,3695,3601,1707.8886809361657,22,70.62966358856872,22,44.556435470272596,50,105.50539943948485,0,0.0,0,0.0
17,Southern Andes,30634,29816,9299.172652336723,177,612.1466260389178,79,606.0775418225479,496,10971.079298361823,0,0.0,66,6185.9195269858
18,New Zealand,3018,2995,709.5466564307794,8,11.74017912844057,8,16.546703484986015,7,148.57058505274037,0,0.0,0,0.0
19,Subantarctic Antarctic Islands,2742,1462,813.3980715619759,10,83.78035857973022,11,198.8865646305402,11,129.63887325103437,186,86881.44524312715,1062,45325.210336627264
global,,274531,267957,456196.73042601784,1392,30637.781643066493,1103,31973.012850624324,2733,48828.78086596213,198,87364.44191143767,1148,51743.30177013846
