rgi_id,auto_term,lake_level,image_id,notes,image_date,contributor,inventory_doi
RGI2000-v7.0-G-13-09979,9,0,LE71500332000246SGS01,,02/09/2000,McNabb,doi:10.5194/essd-13-741-2022
RGI2000-v7.0-G-13-10000,9,0,LE71500332000246SGS01,,02/09/2000,McNabb,doi:10.5194/essd-13-741-2022
