rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,Note
RGI2000-v7.0-G-10-00144,0,LE07_L2SP_165013_20000810_20200918_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00145,0,LE07_L2SP_165013_20000810_20200918_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00146,2,LE07_L2SP_165013_20000810_20200918_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00147,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00148,1,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00149,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00150,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00151,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00152,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00153,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00154,0,LE07_L2SP_165012_20000810_20200917_02_T1,2000-08-10,,Kutuzov,
RGI2000-v7.0-G-10-00155,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00156,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00157,2,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00158,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00159,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00160,0,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00161,1,LE07_L2SP_167012_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
