rgi_id,auto_term,image_id,lake_level,image_date,contributor,src_date,area_km2,inventory_doi,contributor.1,contributor.2,contributor.3
RGI2000-v7.0-G-03-00026,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.790906855447064,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00027,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,10.27863669152651,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00028,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,37.14174362378681,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00029,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.706698896769471,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00030,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.544123957786539,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00031,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.085069049832568,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00032,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,33.783044635488615,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00033,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.91464309982629,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00034,9,LE07_L1TP_055247_20000620_20200918_02_T1,99,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,82.68613994908314,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00035,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.184513063842658,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
